cycle,oracle_match_rate,oracle_prefix_len,oracle_prefix_rate,replay_winner,replay_turns,replay_p0_success,replay_p1_success,train_loss,policy_loss,value_loss
1,0.841584,12,0.118812,-1,9,1,0,1.057120,0.821407,0.236011
2,1.000000,31,0.306931,-1,8,1,0,0.204807,0.193903,0.011036
3,1.000000,31,0.306931,-1,8,2,0,0.033182,0.030696,0.002523
4,1.000000,21,0.207921,-1,8,2,0,0.015268,0.014229,0.001058
5,1.000000,30,0.297030,-1,7,1,1,0.009442,0.008773,0.000682
6,1.000000,31,0.306931,-1,8,1,2,0.008982,0.008400,0.000592
7,1.000000,31,0.306931,-1,9,0,0,0.007473,0.006782,0.000700
8,1.000000,30,0.297030,-1,8,1,0,0.004450,0.004183,0.000273
