cycle,games,decisive_games,avg_turns,decisive_avg_turns,avg_duration_secs,p0_success_avg,p1_success_avg,draw_rate,planner_guided_ratio,buffer_count,train_loss,policy_loss,value_loss
1,8,2,10.7500,10.0000,1.3097,1.1250,1.3750,0.7500,0.1537,872,2.095891,1.329189,0.767068
2,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,872,1.987219,1.236508,0.751059
3,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,872,2.056627,1.308989,0.748012
4,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,872,2.006852,1.260419,0.746802
