cycle,games,decisive_games,avg_turns,decisive_avg_turns,avg_duration_secs,p0_success_avg,p1_success_avg,draw_rate,planner_guided_ratio,buffer_count,train_loss,policy_loss,value_loss
1,8,2,10.2500,8.0000,1.0535,1.5000,0.8750,0.7500,0.0000,844,2.109941,1.361294,0.749042
2,8,3,10.1250,8.6667,0.9575,1.1250,1.6250,0.6250,0.0000,1653,1.987018,1.250667,0.736721
3,8,0,11.0000,0.0000,2.3745,1.3750,0.3750,1.0000,0.0000,2492,2.028946,1.311559,0.717775
4,8,2,10.5000,9.0000,1.0081,0.8750,1.6250,0.7500,0.0000,3353,1.928508,1.203239,0.725626
5,8,0,11.0000,0.0000,1.0119,1.2500,0.8750,1.0000,0.0000,4196,1.968222,1.251259,0.717335
6,8,2,10.2500,8.0000,0.9741,1.2500,1.2500,0.7500,0.0000,5003,1.973401,1.257810,0.715965
7,8,1,10.6250,8.0000,1.0640,1.5000,1.3750,0.8750,0.0000,5875,1.976477,1.269305,0.707549
8,8,1,10.8750,10.0000,1.0812,1.6250,0.8750,0.8750,0.0000,6750,2.002476,1.283210,0.719648
