cycle,games,decisive_games,avg_turns,decisive_avg_turns,avg_duration_secs,p0_success_avg,p1_success_avg,draw_rate,planner_guided_ratio,buffer_count,train_loss,policy_loss,value_loss
1,8,0,11.0000,0.0000,1.0254,1.5000,1.0000,1.0000,0.0000,843,2.039351,1.316445,0.723280
2,8,3,10.0000,8.3333,0.9775,1.6250,1.1250,0.6250,0.0000,1679,1.986012,1.255436,0.730940
3,8,2,8.5000,6.5000,0.9380,1.5000,0.6250,0.7500,0.0000,2541,1.909128,1.175636,0.733839
4,8,3,10.3750,9.3333,0.9991,1.3750,1.6250,0.6250,0.0000,3400,1.884021,1.148109,0.736249
5,8,1,10.6250,8.0000,1.0344,0.8750,1.1250,0.8750,0.0000,4266,1.920259,1.184286,0.736323
