cycle,games,decisive_games,avg_turns,avg_duration_secs,p0_success_avg,p1_success_avg,buffer_count,train_loss,policy_loss,value_loss
1,48,17,10.0833,3.3825,1.3333,1.4583,4788,1.942895,1.205549,0.737701
2,48,20,9.0417,2.6108,1.5000,1.5000,9568,1.880970,1.159175,0.722141
