cycle,games,decisive_games,avg_turns,decisive_avg_turns,avg_duration_secs,p0_success_avg,p1_success_avg,draw_rate,planner_guided_ratio,buffer_count,train_loss,policy_loss,value_loss
1,8,1,10.6250,8.0000,0.9975,1.2500,1.1250,0.8750,0.1089,799,1.908285,1.165163,0.743434
2,8,3,9.2500,10.0000,1.0119,1.6250,1.0000,0.6250,0.0719,1675,1.906095,1.177572,0.728834
