iter,loss,avg_turns,p0_wins,p1_wins,buffer_size,bench_turns,bench_score,gen_time,train_time
iter,loss,avg_turns,p0_wins,p1_wins,buffer_size,bench_turns,bench_score,gen_time,train_time
34,2.2838,16.6,8,4,122901,0.0,0.0,18.8,13.6,0.1994,2.0844,0.000347,0.9845
35,2.1308,16.3,5,7,125230,0.0,0.0,22.6,13.6,0.1987,1.9320,0.000357,0.9840
36,1.7866,14.3,10,5,127288,0.0,0.0,15.8,13.5,0.2003,1.5863,0.000366,0.9836
37,1.6603,15.9,7,6,129538,0.0,0.0,17.8,13.6,0.1980,1.4623,0.000376,0.9831
38,1.6350,13.0,7,8,131482,0.0,0.0,16.0,13.6,0.2007,1.4343,0.000386,0.9827
39,1.5911,14.5,5,9,133619,0.0,0.0,17.0,14.4,0.1997,1.3914,0.000396,0.9822
40,2.2795,14.0,7,7,135649,15.9,3.9,17.3,14.4,0.1996,2.0799,0.000406,0.9817
41,2.0697,14.6,6,6,137749,0.0,0.0,17.6,14.4,0.1997,1.8700,0.000416,0.9813
42,1.7399,15.3,9,5,139902,0.0,0.0,19.1,14.4,0.1996,1.5403,0.000426,0.9808
43,1.6270,19.5,2,8,142480,0.0,0.0,20.4,14.4,0.1995,1.4276,0.000436,0.9804
44,1.5775,17.5,4,7,144921,0.0,0.0,18.6,14.4,0.1979,1.3796,0.000446,0.9799
45,1.5598,17.4,7,5,147401,0.0,0.0,19.3,14.4,0.1957,1.3641,0.000456,0.9795
46,1.5409,16.6,6,6,149713,0.0,0.0,19.3,14.4,0.1967,1.3442,0.000465,0.9790
47,1.5341,13.9,7,7,151701,0.0,0.0,16.2,14.4,0.1969,1.3372,0.000475,0.9786
48,1.5158,15.6,5,8,153988,0.0,0.0,18.1,14.4,0.1962,1.3195,0.000485,0.9781
49,1.5296,15.1,7,6,156212,0.0,0.0,17.5,14.4,0.1977,1.3319,0.000495,0.9777
50,1.5260,16.8,5,7,158621,14.3,4.0,19.8,14.4,0.1975,1.3285,0.000505,0.9772
51,1.5286,16.2,4,8,160879,0.0,0.0,19.2,14.4,0.1972,1.3314,0.000515,0.9768
52,1.9846,15.9,3,8,163080,0.0,0.0,17.7,14.4,0.1956,1.7890,0.000525,0.9763
53,1.8564,16.2,6,7,165317,0.0,0.0,17.7,14.4,0.1959,1.6604,0.000535,0.9759
54,1.6262,15.9,4,6,167532,0.0,0.0,17.5,14.4,0.1936,1.4325,0.000545,0.9754
55,1.5566,14.4,5,7,169529,0.0,0.0,16.5,14.4,0.1949,1.3617,0.000554,0.9750
56,1.5197,15.2,6,6,171673,0.0,0.0,18.0,14.4,0.1926,1.3271,0.000564,0.9745
57,1.5046,12.6,4,10,173600,0.0,0.0,15.6,14.4,0.1928,1.3118,0.000574,0.9741
58,1.5009,15.0,9,4,175738,0.0,0.0,18.6,14.4,0.1926,1.3083,0.000584,0.9736
59,1.4789,15.6,5,8,178007,0.0,0.0,18.6,14.4,0.1936,1.2853,0.000594,0.9732
60,1.4951,14.8,9,4,180130,14.8,4.3,17.6,14.4,0.1936,1.3015,0.000604,0.9727
61,1.4677,14.4,9,6,182196,0.0,0.0,16.2,14.4,0.1935,1.2742,0.000614,0.9723
62,1.4695,15.7,5,8,184452,0.0,0.0,18.1,14.4,0.1926,1.2769,0.000624,0.9719
63,1.4779,13.8,7,8,186511,0.0,0.0,16.8,14.4,0.1936,1.2843,0.000634,0.9714
64,1.4740,13.7,10,6,188524,0.0,0.0,16.5,14.4,0.1939,1.2801,0.000644,0.9710
65,1.4705,17.2,6,6,190861,0.0,0.0,19.3,14.4,0.1941,1.2764,0.000654,0.9705
66,1.4640,13.6,6,7,192849,0.0,0.0,15.1,14.1,0.1932,1.2708,0.000663,0.9701
67,1.4559,14.7,5,8,194984,0.0,0.0,17.8,14.4,0.1942,1.2617,0.000673,0.9696
68,1.4717,16.0,5,6,197192,0.0,0.0,18.9,14.4,0.1931,1.2787,0.000683,0.9692
69,1.4453,14.4,6,9,199280,0.0,0.0,16.0,14.4,0.1938,1.2515,0.000693,0.9687
70,1.4635,14.6,7,7,201423,14.8,4.3,16.8,14.4,0.1940,1.2696,0.000703,0.9683
71,1.4352,14.9,5,8,203592,0.0,0.0,18.4,14.4,0.1943,1.2409,0.000713,0.9678
72,1.4570,15.3,8,5,205753,0.0,0.0,16.1,14.4,0.1943,1.2627,0.000723,0.9674
73,1.4591,19.6,6,3,208408,0.0,0.0,21.8,14.4,0.1929,1.2662,0.000733,0.9669
74,1.4309,19.6,6,3,210994,0.0,0.0,20.9,14.4,0.1920,1.2389,0.000743,0.9665
75,1.5150,13.6,9,5,213022,0.0,0.0,17.0,14.4,0.1932,1.3218,0.000753,0.9661
76,1.4612,17.2,4,8,215463,0.0,0.0,20.0,14.4,0.1920,1.2692,0.000762,0.9656
77,1.4233,15.6,6,7,217704,0.0,0.0,20.0,14.4,0.1911,1.2322,0.000772,0.9652
78,1.4821,17.7,7,5,220127,0.0,0.0,19.7,14.4,0.1903,1.2918,0.000782,0.9647
79,1.4294,15.1,5,9,222330,0.0,0.0,18.1,14.4,0.1916,1.2378,0.000792,0.9643
80,1.4400,16.7,5,8,224642,14.3,3.8,18.0,14.4,0.1942,1.2458,0.000802,0.9638
81,1.4523,14.4,9,5,226798,0.0,0.0,16.8,14.4,0.1918,1.2604,0.000812,0.9634
82,1.4490,13.7,8,7,228850,0.0,0.0,16.8,14.4,0.1928,1.2562,0.000822,0.9629
83,1.4722,14.1,7,7,230922,0.0,0.0,15.8,14.4,0.1928,1.2794,0.000832,0.9625
84,1.7790,16.6,5,8,233274,0.0,0.0,18.9,14.4,0.1926,1.5865,0.000842,0.9621
85,1.7498,14.9,5,7,235425,0.0,0.0,16.3,14.4,0.1942,1.5556,0.000852,0.9616
86,1.5619,17.0,5,6,237747,0.0,0.0,20.3,14.4,0.1909,1.3710,0.000861,0.9612
87,1.4995,13.6,8,6,239754,0.0,0.0,16.4,14.4,0.1920,1.3075,0.000871,0.9607
88,1.4628,15.1,4,9,241939,0.0,0.0,18.6,14.4,0.1909,1.2720,0.000881,0.9603
89,1.4659,14.5,8,7,244052,0.0,0.0,17.5,14.4,0.1915,1.2744,0.000891,0.9598
90,1.4362,14.4,7,8,246162,15.7,4.0,17.4,14.4,0.1921,1.2442,0.000901,0.9594
91,1.4451,15.9,3,11,248454,0.0,0.0,18.6,14.4,0.1916,1.2535,0.000911,0.9590
92,1.4902,15.4,7,5,250746,0.0,0.0,19.2,14.4,0.1920,1.2982,0.000921,0.9585
93,2.5134,15.0,7,8,252969,0.0,0.0,18.1,14.4,0.1939,2.3196,0.000931,0.9581
94,3.0717,12.9,9,7,254900,0.0,0.0,17.0,14.4,0.1925,2.8792,0.000941,0.9576
95,2.6861,14.8,3,10,257063,0.0,0.0,18.3,14.3,0.1923,2.4939,0.000950,0.9572
96,3.3015,14.9,6,8,259231,0.0,0.0,17.4,14.3,0.1933,3.1082,0.000960,0.9568
97,2.9592,16.8,5,7,261549,0.0,0.0,18.8,14.3,0.1931,2.7661,0.000970,0.9563
98,2.8223,15.2,5,9,263760,0.0,0.0,17.9,14.3,0.1923,2.6300,0.000980,0.9559
99,2.7935,14.4,8,5,265865,0.0,0.0,16.8,14.3,0.1919,2.6017,0.000990,0.9554
100,2.7904,15.9,5,7,268101,14.7,3.9,18.0,14.3,0.1913,2.5992,0.001000,0.9550
101,2.7922,15.3,4,10,270278,0.0,0.0,16.7,14.3,0.1918,2.6004,0.001000,0.9546
102,2.7916,13.9,7,4,272261,0.0,0.0,17.4,14.3,0.1912,2.6004,0.001000,0.9541
103,2.7837,17.2,6,7,274640,0.0,0.0,19.5,14.3,0.1925,2.5912,0.001000,0.9537
104,2.7864,14.4,8,5,276687,0.0,0.0,16.9,14.3,0.1916,2.5948,0.001000,0.9532
105,2.7813,15.4,8,6,278921,0.0,0.0,17.3,14.3,0.1917,2.5896,0.001000,0.9528
106,2.7863,15.5,9,3,281087,0.0,0.0,17.6,14.3,0.1922,2.5942,0.001000,0.9524
107,2.7931,16.4,8,5,283375,0.0,0.0,17.4,14.3,0.1922,2.6009,0.001000,0.9519
108,2.7733,13.0,5,9,285351,0.0,0.0,16.4,14.3,0.1908,2.5825,0.001000,0.9515
109,2.7913,15.8,4,8,287581,0.0,0.0,17.9,14.3,0.1916,2.5997,0.001000,0.9510
110,2.7843,13.8,6,7,289596,15.5,3.8,16.5,14.3,0.1916,2.5927,0.001000,0.9506
111,2.7887,14.3,7,7,291719,0.0,0.0,17.9,14.3,0.1920,2.5968,0.001000,0.9502
112,2.7960,14.6,4,9,293830,0.0,0.0,18.3,14.3,0.1920,2.6040,0.001000,0.9497
113,2.7872,12.1,6,7,295685,0.0,0.0,16.3,14.3,0.1903,2.5970,0.001000,0.9493
114,2.7850,13.7,4,10,297652,0.0,0.0,16.1,14.3,0.1912,2.5939,0.001000,0.9489
115,2.7875,17.0,4,6,299999,0.0,0.0,20.0,14.3,0.1912,2.5963,0.001000,0.9484
116,2.7862,14.2,9,4,302063,0.0,0.0,17.1,14.3,0.1916,2.5946,0.001000,0.9480
117,2.7873,15.2,7,8,304285,0.0,0.0,16.7,14.3,0.1906,2.5967,0.001000,0.9475
118,2.7832,14.3,6,8,306390,0.0,0.0,16.2,14.3,0.1920,2.5912,0.001000,0.9471
119,2.7807,12.9,9,5,308323,0.0,0.0,16.6,14.3,0.1918,2.5889,0.001000,0.9467
120,2.7837,16.4,9,3,310565,15.8,4.2,18.2,14.3,0.1910,2.5927,0.001000,0.9462
121,2.7948,13.3,10,4,312487,0.0,0.0,16.5,14.3,0.1925,2.6022,0.001000,0.9458
122,2.7874,14.3,8,4,314550,0.0,0.0,18.7,14.3,0.1910,2.5965,0.001000,0.9454
123,2.7779,15.3,8,4,316693,0.0,0.0,17.0,14.3,0.1905,2.5874,0.001000,0.9449
124,2.7875,18.6,6,6,319248,0.0,0.0,20.5,14.3,0.1924,2.5951,0.001000,0.9445
125,2.7957,16.9,7,6,321622,0.0,0.0,18.6,14.3,0.1908,2.6049,0.001000,0.9441
