cycle,games,decisive_games,avg_turns,avg_duration_secs,p0_success_avg,p1_success_avg,buffer_count,train_loss,policy_loss,value_loss
103,24,9,9.8750,1.0375,1.7083,1.0000,246539,1.726732,1.024517,0.702522
104,24,10,8.8750,0.9597,1.0833,1.5833,248965,1.741868,1.037656,0.704523
105,24,8,9.3750,1.0130,1.5417,1.1250,251401,1.724502,1.023959,0.700850
106,24,14,8.5417,0.9806,1.2500,1.4583,253719,1.736081,1.032209,0.704182
107,24,4,9.7083,1.0029,0.8750,1.0417,256240,1.729622,1.024685,0.705244
108,24,12,8.5833,0.9334,1.4167,1.7917,258496,1.745838,1.042602,0.703548
109,24,11,9.2500,1.0100,1.2083,1.6250,260813,1.719190,1.021859,0.697637
110,24,12,9.5833,0.9644,1.5000,1.7083,263173,1.722556,1.013515,0.709345
111,24,8,9.7917,1.0119,1.2083,1.5000,265688,1.723044,1.021626,0.701723
112,24,10,8.8333,0.9706,1.1667,1.4167,268102,1.728210,1.029153,0.699365
113,24,8,9.6250,1.0439,1.2500,1.5000,270546,1.709501,1.009523,0.700281
114,24,7,9.5417,1.0974,1.2083,1.3750,273074,1.731168,1.026372,0.705103
115,24,7,10.0000,1.1057,1.6250,1.0000,275511,1.735326,1.031371,0.704264
116,24,9,10.0000,1.0933,1.1667,1.5417,277906,1.740067,1.044759,0.695621
117,24,4,9.6250,1.0637,1.0000,1.2083,280434,1.720286,1.017851,0.702740
118,24,7,9.3333,1.0658,1.3333,1.2917,283005,1.736785,1.037917,0.699179
